timestamp,airmass,bigbox,goffset_hwing1,goffset_hwing2,goffset_stellar_centroidx,goffset_stellar_centroidy,goffset_vwing1,goffset_vwing2,h1r,h2r,hafbox,pixcount_cutoff,polynom_h1,polynom_h2,polynom_v1,polynom_v2,target_name,timestamp,v1r,v2r
default,noair,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,noname,default,"(50, 100)","(250, 300)"
20200114.061041,1.25,250,0.1,0,0,0.0,0,0.2,"(50, 100)","(250, 300)",40,650,1,1,2,2,lam Tau - HD 25204,20200114.061041,"(20, 110)","(235, 330)"
20200114.061137,1.25,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061137,"(50, 100)","(250, 300)"
20200114.061204,1.25,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061204,"(50, 100)","(250, 300)"
20200114.061305,1.25,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061305,"(50, 100)","(250, 300)"
20200114.061331,1.25,250,0.05,0,0,0.1,0,0.2,"(20, 125)","(250, 330)",40,650,2,2,1,1,lam Tau - HD 25204,20200114.061331,"(20, 105)","(230, 330)"
20200114.061424,1.26,250,0.05,0,0,0.1,0,0.2,"(20, 125)","(250, 330)",40,650,1,1,2,2,lam Tau - HD 25204,20200114.061424,"(20, 105)","(230, 330)"
20200114.061521,1.26,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061521,"(50, 100)","(250, 300)"
20200114.061630,1.26,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061630,"(50, 100)","(250, 300)"
20200114.061757,1.27,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061757,"(50, 100)","(250, 300)"
20200114.061905,1.27,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061905,"(50, 100)","(250, 300)"
20200114.061937,1.27,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.061937,"(50, 100)","(250, 300)"
20200114.062150,1.28,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,lam Tau - HD 25204,20200114.062150,"(50, 100)","(250, 300)"
