timestamp,timestamp,bigbox,hafbox,pixcount_cutoff,goffset_stellar_centroidx,goffset_stellar_centroidy,goffset_hwing1,goffset_hwing2,goffset_vwing1,goffset_vwing2,h1r,h2r,v1r,v2r,polynom_h1,polynom_h2,polynom_v1,polynom_v2,airmass,target_name
default,default,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,noair,noname
20200114.061041,20200114.061041,250,40,650,0,0.0,0.1,0,0,0.2,"(50, 100)","(250, 300)","(20, 110)","(235, 330)",1,1,2,2,1.25,lam Tau - HD 25204
20200114.061137,20200114.061137,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.25,lam Tau - HD 25204
20200114.061204,20200114.061204,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.25,lam Tau - HD 25204
20200114.061305,20200114.061305,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.25,lam Tau - HD 25204
20200114.061331,20200114.061331,250,40,650,0,0.1,0.05,0,0,0.2,"(20, 125)","(250, 330)","(20, 105)","(230, 330)",2,2,1,1,1.25,lam Tau - HD 25204
20200114.061424,20200114.061424,250,40,650,0,0.1,0.05,0,0,0.2,"(20, 125)","(250, 330)","(20, 105)","(230, 330)",1,1,2,2,1.26,lam Tau - HD 25204
20200114.061521,20200114.061521,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.26,lam Tau - HD 25204
20200114.061630,20200114.061630,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.26,lam Tau - HD 25204
20200114.061757,20200114.061757,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.27,lam Tau - HD 25204
20200114.061905,20200114.061905,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.27,lam Tau - HD 25204
20200114.061937,20200114.061937,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.27,lam Tau - HD 25204
20200114.062150,20200114.062150,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.28,lam Tau - HD 25204
20200114.062432,20200114.062432,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.28,lam Tau - HD 25204
20200114.062528,20200114.062528,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.28,lam Tau - HD 25204
20200114.062730,20200114.062730,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.28,lam Tau - HD 25204
20200114.062834,20200114.062834,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.28,lam Tau - HD 25204
20200114.062834,20200114.062834,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.59,nu.02 CMa - HD 47205
20200114.064427,20200114.064427,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.60,nu.02 CMa - HD 47205
20200114.064522,20200114.064522,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.60,nu.02 CMa - HD 47205
20200114.064605,20200114.064605,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.60,nu.02 CMa - HD 47205
20200114.064650,20200114.064650,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.60,nu.02 CMa - HD 47205
20200114.064901,20200114.064901,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.60,nu.02 CMa - HD 47205
20200114.065609,20200114.065609,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.30,kap CMa - HD 50013
20200114.070555,20200114.070555,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.00,bet Tau - HD 35497
20200114.070627,20200114.070627,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.00,bet Tau - HD 35497
20200114.070728,20200114.070728,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.00,bet Tau - HD 35497
20200114.070815,20200114.070815,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.00,bet Tau - HD 35497
