timestamp,stellar_x,stellar_y,'gausshwing1_x2','gausshwing1_x','gausshwing2_x2,'gausshwing2_x,'gausvwing1_x2','gausvwing1_x','gausvwing2_x2','gausvwing2_x',ADC1,ADC2,seeing,last_processed
20200114.061305,250.66,243.09,-0.0004,-0.1162,-0.0004,0.1039,0.0003,0.1233,0.0003,-0.0367,113.008,-8.991,1.25,lam Tau - HD 25204,2020-01-15 18:50:31.952663
20200114.061041,250.93,241.77,0.0,-0.1486,0.0,-0.1438,0.0006,0.1084,0.0007,-0.2951,121.999,0.000,1.25,lam Tau - HD 25204,2020-01-15 19:02:56.282525
20200114.061204,249.92,251.87,-0.0002,-0.1269,-0.0003,0.0282,0.0004,0.1166,0.0004,-0.1355,116.005,-5.994,1.25,lam Tau - HD 25204,2020-01-15 19:06:17.022159
20200114.061137,250.37,242.3,-0.0001,-0.1384,-0.0002,-0.004,0.0005,0.113,0.0005,-0.205,119.002,-2.997,1.25,lam Tau - HD 25204,2020-01-15 19:12:11.831207
20200114.061331,250.81,251.81,-0.0005,-0.1125,-0.0005,0.1658,0.0002,0.1279,0.0002,0.0267,110.011,-11.988,1.25,lam Tau - HD 25204,2020-01-15 19:13:35.656266
20200114.061424,250.54,252.03,-0.001,-0.0388,-0.0006,0.2319,-0.0,0.1425,0.0001,0.1016,107.014,-14.985,1.26,lam Tau - HD 25204,2020-01-15 19:20:57.429295
20200114.061521,250.49,249.59,-0.0011,-0.0211,-0.0011,0.5209,-0.0001,0.1547,-0.0001,0.2106,104.017,-17.982,1.26,lam Tau - HD 25204,2020-01-15 19:29:07.595916
20200114.061630,250.34,266.32,-0.0008,-0.0889,-0.0008,0.4008,-0.0003,0.1652,-0.0001,0.2334,101.020,-20.979,1.26,lam Tau - HD 25204,2020-01-15 19:36:09.398186
20200114.061757,249.86,266.95,-0.0009,-0.0803,-0.0009,0.4228,-0.0004,0.1751,-0.0002,0.2841,98.023,-23.998,1.27,lam Tau - HD 25204,2020-01-15 19:40:27.079025
20200114.061905,250.67,266.78,-0.001,-0.0797,-0.0009,0.4532,-0.0006,0.1962,-0.0003,0.3274,95.026,-26.995,1.27,lam Tau - HD 25204,2020-01-15 19:49:31.568890
20200114.061937,249.99,266.7,-0.0011,-0.0723,-0.001,0.5027,-0.0008,0.2058,-0.0004,0.3968,92.029,-29.992,1.27,lam Tau - HD 25204,2020-01-15 19:54:06.445780
